Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
537069.0,BSE,Arnold Holdings Ltd,ARNOLD,Arnold Holdings Ltd,Active,XT,10.0,INE185K01036,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
